size	result	log2(size)	log2((result))	count	log2((count))
3	2.97546e-07	1.58496	-21.6804	0	-inf
4	7.23839e-07	2	-20.3978	17	4.08746
5	1.91879e-06	2.32193	-18.9914	61	5.93074
6	3.79944e-06	2.58496	-18.0058	115	6.84549
7	5.00107e-06	2.80735	-17.6093	145	7.17991
8	6.97708e-06	3	-17.1289	179	7.48382
9	1.20773e-05	3.16993	-16.3373	269	8.07146
10	1.60828e-05	3.32193	-15.9241	372	8.53916
11	2.09198e-05	3.45943	-15.5448	388	8.59991
12	2.32239e-05	3.58496	-15.394	432	8.75489
13	3.85132e-05	3.70044	-14.6643	806	9.65464
15	4.05579e-05	3.90689	-14.5897	807	9.65642
16	4.92249e-05	4	-14.3103	1092	10.0928
18	8.8562e-05	4.16993	-13.463	1382	10.4325
20	8.70361e-05	4.32193	-13.488	1700	10.7313
22	0.000123413	4.45943	-12.9842	1998	10.9643
24	0.000143066	4.58496	-12.771	2500	11.2877
26	0.000170044	4.70044	-12.5218	2749	11.4247
29	0.000253174	4.85798	-11.9476	3877	11.9207
32	0.000343018	5	-11.5094	4702	12.1991
35	0.000370605	5.12928	-11.3978	5874	12.5201
39	0.000459717	5.2854	-11.087	7613	12.8942
43	0.000525879	5.42626	-10.893	8529	13.0582
47	0.000654297	5.55459	-10.5778	10439	13.3497
52	0.000958984	5.70044	-10.0262	14537	13.8274
57	0.00102344	5.83289	-9.93236	15326	13.9037
63	0.00152051	5.97728	-9.36123	20736	14.3399
69	0.001375	6.10852	-9.50635	21882	14.4175
76	0.0018457	6.24793	-9.08161	29717	14.859
84	0.00232031	6.39232	-8.75147	36041	15.1374
92	0.00277148	6.52356	-8.49513	42885	15.3882
102	0.00354492	6.67243	-8.14003	49844	15.6051
112	0.00401563	6.80735	-7.96016	60889	15.8939
123	0.00496484	6.94251	-7.65404	77130	16.235
135	0.00652734	7.07682	-7.25929	93445	16.5118
149	0.00828125	7.21917	-6.91594	118376	16.853
164	0.00919531	7.35755	-6.76489	130837	16.9974
180	0.0103906	7.49185	-6.58857	159899	17.2868
198	0.0139844	7.62936	-6.16004	201701	17.6219
218	0.0164375	7.76818	-5.92687	236718	17.8528
240	0.0213281	7.90689	-5.5511	300325	18.1962
264	0.0245781	8.04439	-5.34648	345769	18.3994
291	0.0291719	8.18488	-5.09928	421924	18.6866
320	0.0371563	8.32193	-4.75025	525965	19.0046
352	0.043875	8.45943	-4.51046	626039	19.2559
387	0.055375	8.59619	-4.17462	778557	19.5704
426	0.06675	8.73471	-3.90509	947537	19.8538
468	0.082625	8.87036	-3.59728	1132547	20.1111
515	0.0905	9.00843	-3.46594	1283370	20.2915
567	0.123813	9.1472	-3.01377	1614307	20.6225
623	0.140875	9.28309	-2.82751	1940650	20.8881
686	0.174	9.42206	-2.52284	2326049	21.1495
754	0.217625	9.55842	-2.20008	2978136	21.506
830	0.250625	9.69697	-1.9964	3459548	21.7222
913	0.3095	9.83447	-1.69199	4422469	22.0764
1004	0.37425	9.97154	-1.41793	5185168	22.306
1105	0.45425	10.1098	-1.13844	6277376	22.5817
1215	0.5495	10.2467	-0.863809	7701088	22.8766
1337	0.756	10.3848	-0.403542	9898079	23.2387
1471	0.792	10.5226	-0.336428	11318130	23.4321
1618	1.047	10.66	0.0662614	13898246	23.7284
1780	1.307	10.7977	0.386259	16531996	23.9788
1958	1.492	10.9352	0.577248	20178416	24.2663
